"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 20;  Democracy Status 22;  Trend Democracy;;  Economy Status 20;  Economy Status 22;  Trend Economy;;  Governance Index 20;  Governance Index 22;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;126;2,92;119;3,08;3,5;2;6;3;3;3,3;3;2;4;4;3,0;4;3;3;2;3,0;3;3;2,7;3;3;n/a;2;126;2,75;1,0;1;3,3;3;3;4;3;4,0;4;4;3,0;2;4;2,5;2;3;3,0;3;2,5;3;2;92;4,02;8,8;10;9;9;9;8;7,8;4,13;3,7;4;3;4;3,3;4;3;3;4,2;3;4;5;4;5;5,3;5;5;6;;;3,28;3,08;-0,20;â;3,14;2,75;-0,39;â;4,36;4,02;-0,34;â;;;3;2;4;4;4;2;2,5;4;Aut.;;;2,92;5;Failed;3,08;5;Hard-line autocracies;2,75;5;Rudimentary;4,02;4;Weak;8,8;1;Massive;4,13;4;Flawed
Albania;1;28;6,68;27;7,10;9,0;10;9;10;7;7,8;7;7;10;7;5,5;5;5;4;8;6,5;5;8;6,8;6;6;8;7;35;6,25;5,0;5;8,3;7;8;10;8;7,0;8;6;6,0;6;6;6,5;6;7;6,0;6;5,0;5;5;18;6,28;4,5;6;6;4;5;2;3,8;7,17;7,0;7;7;7;6,3;6;7;6;7,0;9;7;6;7;6;8,3;7;8;10;;;7,15;7,10;-0,05;â;6,54;6,25;-0,29;â;5,95;6,28;0,34;â;;;7;7;10;7;5;8;8,5;0;Dem.;;;6,68;3;Limited;7,10;2;Defective democracies;6,25;3;Limited;6,28;2;Good;4,5;3;Moderate;7,17;2;Sound
Algeria;4;73;5,04;76;4,65;7,8;9;8;6;8;3,8;4;2;5;4;4,3;4;4;4;5;2,5;3;2;5,0;4;5;n/a;6;68;5,43;5,0;5;4,5;4;4;6;4;6,5;6;7;5,0;5;5;6,0;7;5;6,0;6;5,0;6;4;76;4,67;5,2;7;5;5;6;3;5,;5,23;5,0;5;5;5;4,7;4;5;5;5,6;5;5;6;5;7;5,7;5;6;6;;;4,70;4,65;-0,05;â;5,36;5,43;0,07;â;4,41;4,67;0,27;â;;;4;2;5;4;4;5;8,5;2;Aut.;;;5,04;4;Very limited;4,65;4;Moderate autocracies;5,43;3;Limited;4,67;3;Moderate;5,2;3;Moderate;5,23;3;Fair
Angola;5;101;4,21;79;4,60;7,3;8;7;10;4;4,0;4;2;4;6;3,8;3;4;4;4;3,0;3;3;5,0;5;5;n/a;5;111;3,82;2,0;2;4,8;4;4;6;5;5,5;6;5;4,5;4;5;4,0;4;4;3,0;3;3,0;3;3;81;4,46;6,3;7;7;4;7;7;5,5;4,87;4,3;5;4;4;4,0;3;5;4;4,8;6;4;6;5;3;6,3;6;6;7;;;4,65;4,60;-0,05;â;3,68;3,82;0,14;â;4,23;4,46;0,23;â;;;4;2;4;6;3;4;6;3;Aut.;;;4,21;4;Very limited;4,60;4;Moderate autocracies;3,82;4;Very limited;4,46;3;Moderate;6,3;3;Moderate;4,87;4;Flawed
Argentina;2;27;6,73;19;7,70;9,0;8;10;10;8;8,8;9;8;9;9;6,5;6;6;7;7;7,0;7;7;7,3;7;7;8;7;57;5,75;6,0;6;6,3;6;6;7;6;5,0;5;5;7,0;7;7;6,5;6;7;4,0;4;5,5;5;6;40;5,52;3,2;5;4;4;2;1;3,3;6,50;6,0;6;6;6;5,7;6;6;5;7,0;7;9;6;6;7;7,3;7;7;8;;;8,15;7,70;-0,45;â;6,43;5,75;-0,68;è;6,10;5,52;-0,58;è;;;9;8;9;9;6;7;8;0;Dem.;;;6,73;3;Limited;7,70;2;Defective democracies;5,75;3;Limited;5,52;3;Moderate;3,2;4;Minor;6,50;2;Sound
Armenia;6;37;6,43;39;6,75;8,5;8;10;9;7;7,8;9;5;9;8;5,8;6;5;6;6;6,0;6;6;5,8;5;6;6;6;40;6,11;5,0;5;6,8;6;6;8;7;7,5;8;7;7,5;7;8;6,0;6;6;5,0;5;5,0;5;5;63;4,93;4,1;6;4;4;5;2;3,9;5,67;5,0;5;5;5;5,0;5;5;5;6,0;7;5;6;7;5;6,7;7;7;6;;;7,10;6,75;-0,35;â;6,29;6,11;-0,18;â;5,29;4,93;-0,36;â;;;9;5;9;8;6;6;7,5;0;Dem.;;;6,43;3;Limited;6,75;2;Defective democracies;6,11;3;Limited;4,93;3;Moderate;4,1;4;Minor;5,67;3;Fair
Azerbaijan;6;95;4,47;108;3,58;8,0;8;8;9;7;2,3;2;2;3;2;3,0;2;3;4;3;2,0;2;2;2,7;2;3;n/a;3;73;5,36;5,0;5;4,5;4;4;4;6;7,0;7;7;4,5;4;5;5,5;5;6;6,0;6;5,0;5;5;97;3,98;4,9;5;8;4;5;2;5,5;4,48;5,0;5;5;5;4,0;4;5;3;3,6;4;3;5;2;4;5,3;6;5;5;;;3,43;3,58;0,15;â;5,25;5,36;0,11;â;4,00;3,98;-0,02;â;;;2;2;3;2;2;3;7,5;6;Aut.;;;4,47;4;Very limited;3,58;5;Hard-line autocracies;5,36;3;Limited;3,98;4;Weak;4,9;3;Moderate;4,48;4;Flawed
Bahrain;4;92;4,50;122;3,07;6,5;7;5;6;8;1,3;2;1;1;1;2,8;2;2;4;3;1,5;2;1;3,3;2;5;n/a;3;50;5,93;5,0;5;7,0;7;5;8;8;5,5;7;4;7,5;8;7;4,5;6;3;6,0;6;6,0;5;7;109;3,73;4,2;4;6;7;1;1;6,4;4,28;4,3;4;6;3;4,3;5;4;4;2,8;5;3;1;2;3;5,7;5;5;7;;;3,00;3,07;0,07;â;6,25;5,93;-0,32;â;3,24;3,73;0,49;â;;;2;1;1;1;2;3;7,5;6;Aut.;;;4,50;4;Very limited;3,07;5;Hard-line autocracies;5,93;3;Limited;3,73;4;Weak;4,2;4;Minor;4,28;4;Flawed
Bangladesh;7;84;4,82;86;4,25;7,0;8;9;5;6;3,0;4;2;3;3;3,3;3;4;3;3;3,0;3;3;5,0;5;5;n/a;5;72;5,39;3,0;3;5,8;5;6;7;5;6,5;7;6;6,5;5;8;4,0;4;4;7,0;7;5,0;6;4;78;4,57;6,6;7;6;7;8;6;5,9;4,93;4,0;4;5;3;4,0;4;5;3;4,4;6;4;4;4;4;7,3;7;7;8;;;4,42;4,25;-0,17;â;5,68;5,39;-0,29;â;4,50;4,57;0,06;â;;;4;2;3;3;3;3;7;6;Aut.;;;4,82;4;Very limited;4,25;4;Moderate autocracies;5,39;3;Limited;4,57;3;Moderate;6,6;2;Substantial;4,93;4;Flawed
Belarus;6;90;4,61;94;3,97;8,5;10;8;9;7;2,3;2;2;3;2;2,8;2;3;4;2;2,0;2;2;4,3;3;4;n/a;6;75;5,25;7,0;7;4,8;4;6;6;3;4,5;5;4;3,5;3;4;6,0;6;6;5,0;5;6,0;6;6;123;2,78;4,9;6;7;6;4;1;5,4;3,13;3,3;3;4;3;3,7;3;4;4;2,2;2;2;2;2;3;3,3;3;3;4;;;4,38;3,97;-0,42;â;5,39;5,25;-0,14;â;3,71;2,78;-0,93;è;;;2;2;3;2;2;2;8,5;6;Aut.;;;4,61;4;Very limited;3,97;5;Hard-line autocracies;5,25;3;Limited;2,78;5;Failed;4,9;3;Moderate;3,13;4;Flawed
