"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 14;  Democracy Status 16;  Trend Democracy;;  Economy Status 14;  Economy Status 16;  Trend Economy;;  Governance Index 14;  Governance Index 16;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;120;2,95;117;3,02;3,8;3;6;3;3;3,5;3;3;4;4;2,5;3;3;2;2;3,0;3;3;2,3;2;3;n/a;2;119;2,89;1,0;1;2,8;3;2;3;3;5,0;6;4;3,0;2;4;2,0;2;2;4,0;4;2,5;3;2;99;3,88;9,1;10;10;9;9;9;7,9;3,95;4,0;5;3;4;2,7;2;3;3;3,8;3;4;4;4;4;5,3;5;4;7;;;2,97;3,02;0,05;�;2,96;2,89;-0,07;�;3,30;3,88;0,57;�;;;3;3;4;4;3;2;3;4;Aut.;;;2,95;5;Failed;3,02;5;Hard-line autocracy;2,89;5;Rudimentary;3,88;4;Weak;9,1;1;Massive;3,95;4;Flawed
Albania;1;33;6,71;36;6,95;9,0;10;9;10;7;7,3;7;7;8;7;5,0;4;4;4;8;7,0;6;8;6,5;6;6;8;6;37;6,46;5,0;5;8,3;7;8;10;8;7,5;8;7;7,0;7;7;6,5;7;6;6,0;6;5,0;5;5;38;5,77;4,8;6;7;3;5;4;4,;6,52;6,7;7;6;7;5,3;4;7;5;6,4;8;7;6;6;5;7,7;7;7;9;;;6,70;6,95;0,25;�;6,39;6,46;0,07;�;5,17;5,77;0,60;�;;;7;7;8;7;4;8;8,5;0;Dem.;;;6,71;3;Limited;6,95;2;Defective democracy;6,46;3;Limited;5,77;2;Good;4,8;3;Moderate;6,52;2;Sound
Algeria;4;77;5,11;78;4,80;7,3;7;8;6;8;4,5;5;2;5;6;4,3;4;4;4;5;3,0;3;3;5,0;4;6;n/a;5;70;5,43;5,0;5;4,5;4;4;6;4;7,0;6;8;4,5;5;4;6,0;7;5;7,0;7;4,0;4;4;79;4,50;5,5;7;5;7;5;4;5,3;5,00;4,7;5;5;4;4,7;4;5;5;5,0;5;3;5;5;7;5,7;5;6;6;;;4,80;4,80;0,00;�;5,43;5,43;0,00;�;4,58;4,50;-0,07;�;;;5;2;5;6;4;5;7,5;2;Aut.;;;5,11;4;Very limited;4,80;4;Moderate autocracy;5,43;3;Limited;4,50;3;Moderate;5,5;3;Moderate;5,00;3;Fair
Angola;5;102;4,16;86;4,25;7,3;8;8;9;4;3,0;3;2;3;4;3,0;3;3;2;4;3,0;3;3;5,0;5;5;n/a;5;106;4,07;2,0;2;3,5;4;2;4;4;6,5;7;6;4,0;4;4;3,5;3;4;6,0;6;3,0;3;3;107;3,61;5,8;6;7;4;5;7;5,9;3,98;3,3;4;3;3;3,0;3;4;2;3,6;5;3;6;2;2;6,0;6;6;6;;;4,55;4,25;-0,30;�;4,32;4,07;-0,25;�;3,96;3,61;-0,35;�;;;3;2;3;4;3;4;6;4;Aut.;;;4,16;4;Very limited;4,25;4;Moderate autocracy;4,07;4;Very limited;3,61;4;Weak;5,8;3;Moderate;3,98;4;Flawed
Argentina;2;34;6,65;28;7,55;9,0;8;10;10;8;8,8;9;8;10;8;5,8;5;6;5;7;7,0;6;8;7,3;6;7;9;7;64;5,75;7,0;7;5,3;5;5;5;6;4,5;4;5;6,5;6;7;6,5;6;7;5,0;5;5,5;5;6;71;4,78;2,9;4;4;4;1;1;3,6;5,67;5,0;6;5;4;4,7;5;5;4;7,0;8;8;6;6;7;6,0;6;4;8;;;7,55;7,55;0,00;�;5,96;5,75;-0,21;�;5,01;4,78;-0,23;�;;;9;8;10;8;5;7;8;0;Dem.;;;6,65;3;Limited;7,55;2;Defective democracy;5,75;3;Limited;4,78;3;Moderate;2,9;4;Minor;5,67;3;Fair
Armenia;6;64;5,56;74;5,23;8,8;10;9;9;7;4,5;5;3;5;5;4,3;4;4;4;5;3,0;3;3;5,7;5;6;n/a;6;56;5,89;4,0;4;6,3;6;4;8;7;7,0;8;6;8,0;8;8;6,0;6;6;5,0;5;5,0;5;5;84;4,31;4,4;6;5;3;6;2;4,5;4,92;4,3;4;5;4;4,3;5;5;3;5,0;6;6;5;4;4;6,0;6;6;6;;;5,35;5,23;-0,12;�;6,07;5,89;-0,18;�;4,84;4,31;-0,53;�;;;5;3;5;5;4;5;8,5;2;Aut.;;;5,56;3;Limited;5,23;4;Moderate autocracy;5,89;3;Limited;4,31;3;Moderate;4,4;4;Minor;4,92;4;Flawed
Azerbaijan;6;95;4,44;105;3,48;7,0;5;8;8;7;2,8;3;2;3;3;3,0;2;3;4;3;2,0;2;2;2,7;2;3;n/a;3;72;5,39;5,0;5;4,3;4;3;4;6;7,0;7;7;5,0;4;6;6,0;6;6;6,0;6;4,5;5;4;103;3,76;5,2;6;8;4;4;3;6,;4,22;4,3;5;5;3;3,3;4;4;2;3,2;4;2;4;2;4;6,0;5;6;7;;;3,92;3,48;-0,43;�;5,50;5,39;-0,11;�;3,96;3,76;-0,20;�;;;3;2;3;3;2;3;6;6;Aut.;;;4,44;4;Very limited;3,48;5;Hard-line autocracy;5,39;3;Limited;3,76;4;Weak;5,2;3;Moderate;4,22;4;Flawed
Bahrain;4;83;4,96;105;3,48;6,5;6;6;6;8;1,8;2;1;2;2;3,5;3;3;4;4;2,0;2;2;3,7;2;6;n/a;3;39;6,43;5,0;5;7,5;8;5;8;9;7,0;8;6;7,0;8;6;5,0;7;3;8,0;8;5,5;4;7;100;3,86;4,2;3;6;7;1;2;6,;4,43;3,7;4;4;3;4,7;4;5;5;3,4;5;3;1;3;5;6,0;5;5;8;;;3,65;3,48;-0,17;�;7,04;6,43;-0,61;�;3,94;3,86;-0,08;�;;;2;1;2;2;3;4;7;5;Aut.;;;4,96;4;Very limited;3,48;5;Hard-line autocracy;6,43;3;Limited;3,86;4;Weak;4,2;4;Minor;4,43;4;Flawed
Bangladesh;7;70;5,39;73;5,35;6,8;6;9;7;5;5,3;6;6;5;4;4,3;5;5;3;4;4,5;4;5;6,0;6;5;7;6;70;5,43;4,0;4;5,5;4;6;7;5;6,0;6;6;6,5;6;7;4,0;4;4;7,0;7;5,0;6;4;82;4,38;7,3;7;6;8;9;8;5,5;4,67;3,7;3;5;3;3,3;3;4;3;5,0;5;6;4;5;5;6,7;7;6;7;;;5,95;5,35;-0,60;�;5,43;5,43;0,00;�;4,38;4,38;0,00;�;;;6;6;5;4;5;4;5,5;0;Dem.;;;5,39;4;Very limited;5,35;3;Highly defective democracy;5,43;3;Limited;4,38;3;Moderate;7,3;2;Substantial;4,67;4;Flawed
Belarus;6;99;4,27;91;3,93;8,5;10;8;9;7;2,5;2;2;3;3;3,0;2;3;4;3;2,0;2;2;3,7;3;4;n/a;4;90;4,61;7,0;7;4,3;4;5;6;2;3,0;3;3;2,5;3;2;6,0;6;6;4,0;4;5,5;6;5;115;3,02;4,4;6;7;3;4;1;5,3;3,45;3,3;3;4;3;4,0;4;5;3;2,8;2;2;4;2;4;3,7;4;2;5;;;3,93;3,93;0,00;�;4,68;4,61;-0,07;�;2,80;3,02;0,22;�;;;2;2;3;3;2;3;8,5;6;Aut.;;;4,27;4;Very limited;3,93;5;Hard-line autocracy;4,61;4;Very limited;3,02;4;Weak;4,4;4;Minor;3,45;4;Flawed
