"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 06;  Democracy Status 08;  Trend Democracy;;  Economy Status 06;  Economy Status 08;  Trend Economy;;  Governance Index 06;  Governance Index 08;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;120;3,14;108;3,42;3,3;2;6;3;2;4,8;6;3;6;4;3,8;5;4;3;3;3,0;3;3;2,3;2;1;n/a;4;119;2,86;1,0;1;3,0;3;2;5;2;4,5;5;4;3,5;2;5;1,5;1;2;5,0;5;1,5;2;1;89;4,44;9,4;10;10;9;10;10;7,5;4,50;4,3;4;4;5;2,3;3;3;1;4,0;3;4;4;4;5;7,3;8;7;7;;;2,97;3,42;0,45;�;3,07;2,86;-0,21;�;4,62;4,44;-0,18;�;;;6;3;6;4;5;3;2;3;Aut.;;;3,14;5;Failed;3,42;5;Hard-line autocracy;2,86;5;Rudimentary;4,44;3;Moderate;9,4;1;Massive;4,50;4;Flawed
Albania;1;33;7,07;32;7,50;8,5;8;9;10;7;8,3;8;8;9;8;6,3;7;5;5;8;8,0;7;9;6,5;6;6;8;6;40;6,64;6,0;6;7,5;6;7;10;7;8,5;9;8;6,5;6;7;6,0;6;6;7,0;7;5,0;5;5;45;5,58;4,4;6;7;2;6;2;3,6;6,37;6,3;7;6;6;4,7;4;6;4;6,8;9;7;5;7;6;7,7;7;7;9;;;7,25;7,50;0,25;�;5,96;6,64;0,68;�;5,32;5,58;0,26;�;;;8;8;9;8;7;8;7,5;0;Dem.;;;7,07;2;Advanced;7,50;2;Defective democracy;6,64;3;Limited;5,58;3;Moderate;4,4;4;Minor;6,37;2;Sound
Algeria;4;83;4,72;82;4,27;6,8;6;8;7;6;4,0;4;2;5;5;4,3;4;4;4;5;2,0;2;2;4,3;4;5;n/a;4;71;5,18;5,0;5;4,3;4;4;6;3;7,5;7;8;5,0;6;4;4,5;5;4;6,0;6;4,0;4;4;97;3,88;6,1;7;6;7;6;5;5,5;4,25;4,0;4;4;4;3,7;3;4;4;4,0;4;3;3;4;6;5,3;5;6;5;;;4,23;4,27;0,03;�;4,61;5,18;0,57;�;3,64;3,88;0,24;�;;;4;2;5;5;4;5;6;2;Aut.;;;4,72;4;Very limited;4,27;4;Moderate autocracy;5,18;3;Limited;3,88;4;Weak;6,1;3;Moderate;4,25;4;Flawed
Angola;5;105;3,82;90;3,97;7,3;6;9;10;4;3,5;1;2;6;5;2,8;3;2;3;3;2,0;2;2;4,3;3;5;n/a;5;111;3,68;2,0;2;3,3;3;2;3;5;6,0;5;7;4,5;4;5;2,0;2;2;6,0;6;2,0;2;2;108;3,11;6,8;7;8;3;8;9;6,;3,35;2,7;2;3;3;2,7;2;4;2;3,4;3;3;3;5;3;4,7;3;5;6;;;3,38;3,97;0,58;�;3,43;3,68;0,25;�;3,56;3,11;-0,45;�;;;1;2;6;5;3;3;5;4;Aut.;;;3,82;5;Failed;3,97;5;Hard-line autocracy;3,68;4;Very limited;3,11;4;Weak;6,8;2;Substantial;3,35;4;Flawed
Argentina;2;26;7,34;26;7,85;9,0;8;10;10;8;9,5;10;10;10;8;5,8;5;6;5;7;8,0;7;9;7,0;6;6;9;7;32;6,82;7,0;7;6,3;6;5;7;7;6,5;7;6;7,0;7;7;6,5;6;7;9,0;9;5,5;5;6;33;5,91;3,4;4;4;3;5;1;3,6;6,92;6,7;7;7;6;6,0;6;7;5;8,0;9;9;8;6;8;7,0;7;6;8;;;7,85;7,85;0,00;�;6,57;6,82;0,25;�;5,46;5,91;0,45;�;;;10;10;10;8;5;7;8;0;Dem.;;;7,34;2;Advanced;7,85;2;Defective democracy;6,82;3;Limited;5,91;2;Good;3,4;4;Minor;6,92;2;Sound
Armenia;6;41;6,41;65;6,00;8,8;9;9;9;8;5,3;6;5;6;4;4,5;4;4;4;6;6,0;6;6;5,5;6;5;7;4;32;6,82;4,0;4;6,8;6;4;10;7;9,0;9;9;8,0;8;8;5,5;6;5;9,0;9;5,5;6;5;56;5,17;4,4;6;4;3;8;1;4,4;5,90;6,0;6;6;6;5,0;6;5;4;5,6;7;7;6;4;4;7,0;7;8;6;;;5,20;6,00;0,80;�;6,43;6,82;0,39;�;4,93;5,17;0,24;�;;;6;5;6;4;4;6;8,5;0;Dem.;;;6,41;3;Limited;6,00;2;Defective democracy;6,82;3;Limited;5,17;3;Moderate;4,4;4;Minor;5,90;3;Fair
Azerbaijan;6;87;4,51;97;3,80;6,8;6;6;9;6;3,0;3;2;3;4;4,3;4;4;4;5;2,0;2;2;3,0;3;3;n/a;3;70;5,21;4,0;4;5,0;5;4;6;5;7,0;7;7;5,0;5;5;4,5;4;5;7,0;7;4,0;4;4;99;3,85;5,4;6;7;4;8;2;5,5;4,28;3,7;3;4;4;4,0;4;5;3;3,8;5;4;4;3;3;5,7;6;6;5;;;3,80;3,80;0,00;�;5,21;5,21;0,00;�;3,49;3,85;0,35;�;;;3;2;3;4;4;5;6;3;Aut.;;;4,51;4;Very limited;3,80;5;Hard-line autocracy;5,21;3;Limited;3,85;4;Weak;5,4;3;Moderate;4,28;4;Flawed
Bahrain;4;56;6,01;77;4,63;8,3;10;7;7;9;3,3;3;2;4;4;5,0;4;5;4;7;2,0;2;2;4,7;3;5;n/a;6;21;7,39;7,0;7;7,8;8;6;8;9;9,0;9;9;7,5;8;7;6,0;7;5;8,0;8;6,5;4;9;78;4,66;3,6;4;5;5;1;2;4,4;5,43;4,7;4;5;5;6,0;6;6;6;4,4;6;4;3;5;4;6,7;5;7;8;;;4,92;4,63;-0,28;�;7,50;7,39;-0,11;�;4,86;4,66;-0,20;�;;;3;2;4;4;4;7;9,5;2;Aut.;;;6,01;3;Limited;4,63;4;Moderate autocracy;7,39;2;Advanced;4,66;3;Moderate;3,6;4;Minor;5,43;3;Fair
Bangladesh;7;68;5,53;66;5,95;7,0;7;8;7;6;7,0;7;7;7;7;4,5;5;5;3;5;5,5;5;6;5,8;6;5;6;6;74;5,11;4,0;4;5,8;5;7;7;4;6,5;7;6;6,5;6;7;3,0;3;3;6,0;6;4,0;4;4;93;4,14;7,4;7;7;6;9;10;5,3;4,40;3,3;3;5;2;2,3;2;4;1;4,6;6;7;3;5;2;7,3;7;7;8;;;6,55;5,95;-0,60;�;5,46;5,11;-0,36;�;4,73;4,14;-0,59;�;;;7;7;7;7;5;5;6,5;0;Dem.;;;5,53;3;Limited;5,95;3;Highly defective democracy;5,11;3;Limited;4,14;4;Weak;7,4;2;Substantial;4,40;4;Flawed
Belarus;6;89;4,47;93;3,93;8,5;10;9;9;6;2,5;2;2;3;3;3,0;2;4;4;2;2,0;2;2;3,7;3;4;n/a;4;78;5,00;7,0;7;4,0;3;6;5;2;4,5;5;4;2,0;2;2;6,0;7;5;6,0;6;5,5;6;5;110;2,90;4,7;6;7;3;6;1;5,3;3,28;2,3;3;2;2;4,7;3;6;5;2,8;2;2;4;2;4;3,3;4;2;4;;;3,97;3,93;-0,03;�;4,96;5,00;0,04;�;2,75;2,90;0,15;�;;;2;2;3;3;2;2;8;6;Aut.;;;4,47;4;Very limited;3,93;5;Hard-line autocracy;5,00;3;Limited;2,90;5;Failed;4,7;3;Moderate;3,28;4;Flawed
