"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 08;  Democracy Status 10;  Trend Democracy;;  Economy Status 08;  Economy Status 10;  Trend Economy;;  Governance Index 08;  Governance Index 10;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;124;2,81;123;2,80;2,8;1;6;3;1;4,0;6;2;4;4;2,3;3;2;2;2;3,0;3;3;2,0;2;2;n/a;2;122;2,82;1,0;1;2,8;3;2;3;3;4,5;5;4;3,5;2;5;1,5;1;2;5,0;5;1,5;2;1;105;3,68;9,8;10;10;10;10;10;8,5;3,70;3,0;3;3;3;2,0;2;3;1;3,8;3;4;4;3;5;6,0;6;6;6;;;3,42;2,80;-0,62;è;2,86;2,82;-0,04;â;4,44;3,68;-0,76;è;;;6;2;4;4;3;2;1;4;Aut.;;;2,81;5;Failed;2,80;5;Hard-line autocracy;2,82;5;Rudimentary;3,68;4;Weak;9,8;1;Massive;3,70;4;Flawed
Albania;1;30;7,17;32;7,55;8,8;9;9;10;7;8,3;8;8;9;8;6,3;7;5;5;8;8,0;7;9;6,5;6;6;8;6;33;6,79;6,0;6;7,5;6;7;10;7;8,5;9;8;7,5;7;8;6,0;6;6;7,0;7;5,0;5;5;38;5,85;4,4;6;7;2;6;2;3,5;6,68;6,3;7;6;6;4,7;4;6;4;7,4;10;8;6;7;6;8,3;8;8;9;;;7,50;7,55;0,05;â;6,64;6,79;0,14;â;5,58;5,85;0,27;â;;;8;8;9;8;7;8;8;0;Dem.;;;7,17;2;Advanced;7,55;2;Defective democracy;6,79;3;Limited;5,85;2;Good;4,4;4;Minor;6,68;2;Sound
Algeria;4;83;4,86;84;4,37;7,0;7;8;6;7;4,3;4;2;5;6;4,3;4;4;4;5;2,0;2;2;4,3;4;5;n/a;4;70;5,36;5,0;5;4,5;4;4;6;4;6,5;6;7;5,0;6;4;5,5;6;5;7,0;7;4,0;4;4;101;3,94;5,9;6;6;7;6;5;5,4;4,33;4,0;4;4;4;3,7;3;5;3;4,0;4;3;3;4;6;5,7;5;6;6;;;4,27;4,37;0,10;â;5,18;5,36;0,18;â;3,88;3,94;0,06;â;;;4;2;5;6;4;5;7;2;Aut.;;;4,86;4;Very limited;4,37;4;Moderate autocracy;5,36;3;Limited;3,94;4;Weak;5,9;3;Moderate;4,33;4;Flawed
Angola;5;92;4,56;78;4,87;8,0;7;8;10;7;5,0;6;3;5;6;4,0;4;4;4;4;3,0;3;3;4,3;4;3;n/a;6;100;4,25;2,0;2;3,8;3;2;5;5;6,0;6;6;4,5;4;5;3,5;3;4;7,0;7;3,0;3;3;97;4,03;6,7;7;8;4;7;9;5,;4,35;4,3;4;5;4;3,3;3;5;2;4,4;5;5;5;4;3;5,3;5;5;6;;;3,97;4,87;0,90;æ;3,68;4,25;0,57;æ;3,11;4,03;0,91;æ;;;6;3;5;6;4;4;7;1;Aut.;;;4,56;4;Very limited;4,87;4;Moderate autocracy;4,25;4;Very limited;4,03;4;Weak;6,7;2;Substantial;4,35;4;Flawed
Argentina;2;28;7,25;25;7,90;9,0;8;10;10;8;9,5;10;10;10;8;5,8;5;6;5;7;8,0;7;9;7,3;6;7;9;7;39;6,61;7,0;7;6,3;6;5;7;7;6,0;6;6;7,0;7;7;6,5;6;7;8,0;8;5,5;5;6;49;5,56;3,3;4;4;3;4;1;3,6;6,53;5,7;6;6;5;5,7;6;6;5;7,8;9;9;7;6;8;7,0;7;6;8;;;7,85;7,90;0,05;â;6,82;6,61;-0,21;â;5,91;5,56;-0,35;â;;;10;10;10;8;5;7;8;0;Dem.;;;7,25;2;Advanced;7,90;2;Defective democracy;6,61;3;Limited;5,56;3;Moderate;3,3;4;Minor;6,53;2;Sound
Armenia;6;63;5,71;77;4,92;8,8;9;9;9;8;4,0;5;2;5;4;4,5;4;4;4;6;2,0;2;2;5,3;6;5;n/a;5;40;6,50;4,0;4;6,5;7;4;9;6;8,0;8;8;8,0;8;8;5,5;6;5;8,0;8;5,5;6;5;85;4,38;4,4;6;4;3;7;2;4,4;5,00;4,7;5;5;4;4,7;6;5;3;4,0;6;6;2;2;4;6,7;7;7;6;;;6,00;4,92;-1,08;ä;6,82;6,50;-0,32;â;5,17;4,38;-0,79;è;;;5;2;5;4;4;6;8,5;2;Aut.;;;5,71;3;Limited;4,92;4;Moderate autocracy;6,50;3;Limited;4,38;3;Moderate;4,4;4;Minor;5,00;3;Fair
Azerbaijan;6;84;4,85;101;3,92;7,0;6;6;9;7;3,3;4;2;4;3;4,0;4;4;4;4;2,0;2;2;3,3;3;4;n/a;3;61;5,79;5,0;5;5,5;5;5;6;6;6,5;6;7;6,0;5;7;5,5;5;6;7,0;7;5,0;5;5;94;4,07;5,3;6;7;4;7;2;5,5;4,55;4,0;4;4;4;4,0;4;5;3;4,2;6;4;5;3;3;6,0;6;6;6;;;3,80;3,92;0,12;â;5,21;5,79;0,57;æ;3,85;4,07;0,22;â;;;4;2;4;3;4;4;6,5;3;Aut.;;;4,85;4;Very limited;3,92;5;Hard-line autocracy;5,79;3;Limited;4,07;4;Weak;5,3;3;Moderate;4,55;4;Flawed
Bahrain;4;51;6,05;83;4,42;7,8;8;7;7;9;2,5;3;1;3;3;4,5;4;4;4;6;2,0;2;2;5,3;4;6;n/a;6;20;7,68;6,0;6;7,8;8;6;8;9;9,5;9;10;7,5;8;7;7,5;9;6;9,0;9;6,5;5;8;86;4,36;3,5;3;5;5;1;2;4,9;5,10;4,0;4;4;4;5,0;5;5;5;4,4;6;4;3;5;4;7,0;6;7;8;;;4,63;4,42;-0,22;â;7,39;7,68;0,29;â;4,66;4,36;-0,30;â;;;3;1;3;3;4;6;8,5;4;Aut.;;;6,05;3;Limited;4,42;4;Moderate autocracy;7,68;2;Advanced;4,36;3;Moderate;3,5;4;Minor;5,10;3;Fair
Bangladesh;7;62;5,74;57;6,05;7,0;6;9;7;6;6,8;8;5;7;7;5,0;5;5;5;5;5,5;5;6;6,0;6;5;7;6;68;5,43;4,0;4;6,0;5;6;7;6;6,5;7;6;6,5;6;7;3,5;3;4;7,0;7;4,5;5;4;69;4,87;7,0;7;6;6;9;9;5,;5,22;4,3;4;5;4;4,0;3;5;4;5,2;6;7;4;6;3;7,3;7;8;7;;;5,95;6,05;0,10;â;5,11;5,43;0,32;â;4,14;4,87;0,73;æ;;;8;5;7;7;5;5;6;0;Dem.;;;5,74;3;Limited;6,05;2;Defective democracy;5,43;3;Limited;4,87;3;Moderate;7,0;2;Substantial;5,22;3;Fair
Belarus;6;96;4,52;94;4,08;9,0;10;9;9;8;2,8;2;2;4;3;3,0;2;4;4;2;2,0;2;2;3,7;3;4;n/a;4;83;4,96;7,0;7;4,3;4;6;5;2;4,5;5;4;2,0;2;2;5,5;6;5;6,0;6;5,5;6;5;109;3,29;4,5;6;7;3;5;1;5,;3,75;3,3;4;3;3;4,7;3;6;5;3,0;2;2;4;3;4;4,0;4;3;5;;;3,93;4,08;0,15;â;5,00;4,96;-0,04;â;2,90;3,29;0,39;â;;;2;2;4;3;2;2;9;5;Aut.;;;4,52;4;Very limited;4,08;4;Moderate autocracy;4,96;4;Very limited;3,29;4;Weak;4,5;3;Moderate;3,75;4;Flawed
