"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 10;  Democracy Status 12;  Trend Democracy;;  Economy Status 10;  Economy Status 12;  Trend Economy;;  Governance Index 10;  Governance Index 12;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;124;2,82;124;2,75;3,3;2;6;3;2;3,3;3;2;4;4;2,3;3;2;2;2;3,0;3;3;2,0;2;2;n/a;2;122;2,89;1,0;1;2,8;3;2;3;3;5,0;6;4;3,5;2;5;1,5;1;2;5,0;5;1,5;2;1;108;3,38;9,7;10;10;10;10;10;8,3;3,40;3,0;3;3;3;2,0;2;3;1;3,6;3;3;4;3;5;5,0;6;3;6;;;2,80;2,75;-0,05;â;2,82;2,89;0,07;â;3,68;3,38;-0,30;â;;;3;2;4;4;3;2;2;5;Aut.;;;2,82;5;Failed;2,75;5;Hard-line autocracy;2,89;5;Rudimentary;3,38;4;Weak;9,7;1;Massive;3,40;4;Flawed
Albania;1;31;7,02;34;7,25;8,8;9;9;10;7;7,5;7;7;9;7;6,0;6;5;5;8;7,5;6;9;6,5;6;6;8;6;37;6,79;6,0;6;7,5;6;7;10;7;8,5;9;8;7,5;7;8;6,0;6;6;7,0;7;5,0;5;5;49;5,44;4,6;6;8;2;5;3;3,6;6,18;5,7;6;6;5;4,7;4;6;4;6,4;8;7;6;6;5;8,0;7;7;10;;;7,55;7,25;-0,30;â;6,79;6,79;0,00;â;5,85;5,44;-0,41;â;;;7;7;9;7;6;8;8;0;Dem.;;;7,02;2;Advanced;7,25;2;Defective democracy;6,79;3;Limited;5,44;3;Moderate;4,6;3;Moderate;6,18;2;Sound
Algeria;4;86;4,78;89;4,30;7,0;7;8;6;7;4,3;4;2;5;6;4,3;4;4;4;5;2,0;2;2;4,0;4;4;n/a;4;72;5,25;5,0;5;3,8;3;3;5;4;6,5;6;7;4,5;5;4;5,5;6;5;7,0;7;4,5;5;4;98;4,01;5,7;7;6;7;5;4;5,4;4,43;3,7;4;4;3;4,3;3;5;5;4,4;4;3;4;4;7;5,3;5;5;6;;;4,37;4,30;-0,07;â;5,36;5,25;-0,11;â;3,94;4,01;0,07;â;;;4;2;5;6;4;5;7;2;Aut.;;;4,78;4;Very limited;4,30;4;Moderate autocracy;5,25;3;Limited;4,01;4;Weak;5,7;3;Moderate;4,43;4;Flawed
Angola;5;83;4,92;78;4,88;8,0;8;8;10;6;5,3;6;3;6;6;3,5;3;4;3;4;3,0;3;3;4,7;4;4;n/a;6;82;4,96;3,0;3;4,3;3;3;5;6;7,0;7;7;4,5;4;5;5,0;4;6;7,0;7;4,0;4;4;91;4,18;6,5;7;7;4;6;10;5,3;4,53;4,0;4;4;4;3,7;4;5;2;4,8;5;5;6;5;3;5,7;5;5;7;;;4,87;4,88;0,02;â;4,25;4,96;0,71;æ;4,03;4,18;0,16;â;;;6;3;6;6;3;4;7;2;Aut.;;;4,92;4;Very limited;4,88;4;Moderate autocracy;4,96;4;Very limited;4,18;4;Weak;6,5;2;Substantial;4,53;4;Flawed
Argentina;2;33;6,95;31;7,55;9,0;8;10;10;8;8,8;9;8;10;8;5,8;5;6;5;7;7,0;6;8;7,3;6;7;9;7;44;6,36;7,0;7;6,0;6;5;6;7;5,5;5;6;7,0;7;7;6,5;6;7;7,0;7;5,5;5;6;59;5,28;3,4;4;4;4;4;1;3,6;6,18;5,7;6;6;5;5,3;5;6;5;7,4;8;8;7;6;8;6,3;6;5;8;;;7,90;7,55;-0,35;â;6,61;6,36;-0,25;â;5,56;5,28;-0,27;â;;;9;8;10;8;5;7;8;0;Dem.;;;6,95;3;Limited;7,55;2;Defective democracy;6,36;3;Limited;5,28;3;Moderate;3,4;4;Minor;6,18;2;Sound
Armenia;6;65;5,59;71;5,25;8,5;9;9;9;7;4,0;5;2;5;4;4,8;4;4;5;6;3,0;3;3;6,0;6;6;n/a;6;55;5,93;4,0;4;6,5;7;4;9;6;7,0;8;6;8,0;8;8;5,5;6;5;5,0;5;5,5;6;5;75;4,68;4,4;6;5;3;6;2;4,4;5,35;4,7;5;5;4;5,3;6;5;5;4,4;6;6;3;3;4;7,0;7;7;7;;;4,92;5,25;0,33;â;6,50;5,93;-0,57;è;4,38;4,68;0,31;â;;;5;2;5;4;4;6;8;2;Aut.;;;5,59;3;Limited;5,25;4;Moderate autocracy;5,93;3;Limited;4,68;3;Moderate;4,4;4;Minor;5,35;3;Fair
Azerbaijan;6;84;4,85;93;4,02;7,5;7;7;9;7;3,3;3;2;4;4;4,0;4;4;4;4;2,0;2;2;3,3;3;4;n/a;3;63;5,68;5,0;5;4,8;4;4;5;6;6,5;7;6;5,5;4;7;6,0;6;6;7,0;7;5,0;6;4;96;4,02;4,9;6;7;4;5;2;5,3;4,53;4,3;5;4;4;3,7;4;4;3;3,8;6;3;4;3;3;6,3;6;7;6;;;3,92;4,02;0,10;â;5,79;5,68;-0,11;â;4,07;4,02;-0,05;â;;;3;2;4;4;4;4;7;2;Aut.;;;4,85;4;Very limited;4,02;4;Moderate autocracy;5,68;3;Limited;4,02;4;Weak;4,9;3;Moderate;4,53;4;Flawed
Bahrain;4;56;5,89;87;4,35;7,8;8;7;7;9;2,5;3;1;3;3;4,5;4;4;4;6;2,0;2;2;5,0;4;6;n/a;5;21;7,43;6,0;6;8,0;8;6;8;10;9,5;9;10;7,5;8;7;6,5;8;5;8,0;8;6,5;5;8;91;4,18;3,6;3;5;6;1;2;4,9;4,87;4,0;5;4;3;4,7;4;5;5;3,8;6;3;3;4;3;7,0;6;7;8;;;4,42;4,35;-0,07;â;7,68;7,43;-0,25;â;4,36;4,18;-0,18;â;;;3;1;3;3;4;6;8,5;4;Aut.;;;5,89;3;Limited;4,35;4;Moderate autocracy;7,43;2;Advanced;4,18;4;Weak;3,6;4;Minor;4,87;4;Flawed
Bangladesh;7;59;5,82;55;6,25;7,0;6;9;7;6;7,5;8;7;8;7;5,0;6;5;4;5;5,5;5;6;6,3;6;5;8;6;70;5,39;4,0;4;5,8;5;6;7;5;7,0;7;7;6,5;6;7;3,5;3;4;6,0;6;5,0;6;4;78;4,57;7,0;7;6;6;9;9;5,;4,90;3,7;4;4;3;3,3;3;4;3;5,6;6;7;4;6;5;7,0;7;7;7;;;6,05;6,25;0,20;â;5,43;5,39;-0,04;â;4,87;4,57;-0,30;â;;;8;7;8;7;6;5;6;0;Dem.;;;5,82;3;Limited;6,25;2;Defective democracy;5,39;3;Limited;4,57;3;Moderate;7,0;2;Substantial;4,90;4;Flawed
Belarus;6;101;4,36;96;3,93;8,5;10;8;9;7;2,5;2;2;3;3;3,0;2;4;4;2;2,0;2;2;3,7;3;4;n/a;4;87;4,79;6,0;6;4,5;4;6;6;2;3,5;4;3;2,5;3;2;5,5;6;5;6,0;6;5,5;6;5;116;2,81;4,7;6;7;3;5;2;5,3;3,18;2,7;3;3;2;4,3;4;5;4;2,4;2;2;3;2;3;3,3;4;2;4;;;4,08;3,93;-0,15;â;4,96;4,79;-0,18;â;3,29;2,81;-0,48;â;;;2;2;3;3;2;2;8,5;6;Aut.;;;4,36;4;Very limited;3,93;5;Hard-line autocracy;4,79;4;Very limited;2,81;5;Failed;4,7;3;Moderate;3,18;4;Flawed
