"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 16;  Democracy Status 18;  Trend Democracy;;  Economy Status 16;  Economy Status 18;  Trend Economy;;  Governance Index 16;  Governance Index 18;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;121;2,95;114;3,02;3,8;2;6;3;4;3,5;3;3;4;4;2,5;3;3;2;2;3,0;3;3;2,3;2;3;n/a;2;118;2,89;1,0;1;2,8;2;2;4;3;4,0;4;4;3,5;2;5;2,5;2;3;4,0;4;2,5;3;2;91;4,02;9,0;10;10;9;9;8;7,9;4,12;4,3;5;3;5;2,7;3;3;2;3,8;3;4;4;4;4;5,7;6;4;7;;;3,02;3,02;0,00;�;2,89;2,89;0,00;�;3,88;4,02;0,15;�;;;3;3;4;4;3;2;3;4;Aut.;;;2,95;5;Failed;3,02;5;Hard-line autocracy;2,89;5;Rudimentary;4,02;4;Weak;9,0;1;Massive;4,12;4;Flawed
Albania;1;30;6,83;34;7,05;9,0;10;9;10;7;7,5;7;7;9;7;5,3;4;5;4;8;7,0;6;8;6,5;6;6;8;6;34;6,61;6,0;6;8,3;7;8;10;8;7,5;8;7;7,0;7;7;6,5;7;6;6,0;6;5,0;5;5;24;6,02;4,5;6;7;3;5;2;3,9;6,87;7,3;8;7;7;5,7;5;7;5;6,8;8;7;6;7;6;7,7;7;7;9;;;6,95;7,05;0,10;�;6,46;6,61;0,14;�;5,77;6,02;0,26;�;;;7;7;9;7;4;8;8,5;0;Dem.;;;6,83;3;Limited;7,05;2;Defective democracy;6,61;3;Limited;6,02;2;Good;4,5;3;Moderate;6,87;2;Sound
Algeria;4;83;4,98;79;4,75;7,5;8;8;6;8;4,5;5;2;5;6;4,3;4;4;4;5;2,5;3;2;5,0;4;6;n/a;5;75;5,21;5,0;5;4,5;4;4;6;4;6,5;6;7;4,5;5;4;5,5;6;5;6,0;6;4,5;5;4;76;4,55;5,2;7;5;6;5;3;5,1;5,10;4,7;5;5;4;4,7;4;5;5;5,4;5;4;6;5;7;5,7;5;6;6;;;4,80;4,75;-0,05;�;5,43;5,21;-0,21;�;4,50;4,55;0,05;�;;;5;2;5;6;4;5;8;2;Aut.;;;4,98;4;Very limited;4,75;4;Moderate autocracy;5,21;3;Limited;4,55;3;Moderate;5,2;3;Moderate;5,10;3;Fair
Angola;5;105;3,94;87;4,20;7,5;8;8;10;4;3,0;3;2;3;4;3,0;3;3;2;4;2,5;3;2;5,0;5;5;n/a;5;108;3,68;2,0;2;3,8;4;2;5;4;6,0;7;5;4,0;4;4;3,0;2;4;4,0;4;3,0;3;3;101;3,60;5,6;6;7;4;5;6;5,8;3,98;3,7;4;4;3;3,3;3;5;2;3,6;6;3;6;2;1;5,3;5;6;5;;;4,25;4,20;-0,05;�;4,07;3,68;-0,39;�;3,61;3,60;-0,02;�;;;3;2;3;4;3;4;6;4;Aut.;;;3,94;5;Failed;4,20;4;Moderate autocracy;3,68;4;Very limited;3,60;4;Weak;5,6;3;Moderate;3,98;4;Flawed
Argentina;2;23;7,27;19;8,00;9,0;8;10;10;8;9,0;9;8;10;9;7,0;7;7;7;7;7,5;7;8;7,5;7;7;9;7;35;6,54;7,0;7;6,8;7;6;7;7;7,0;7;7;7,5;7;8;6,5;6;7;5,0;5;6,0;6;6;26;6,00;3,0;4;4;4;2;1;3,;7,10;7,0;7;7;7;6,3;7;6;6;7,4;8;9;7;6;7;7,7;8;7;8;;;7,55;8,00;0,45;�;5,75;6,54;0,79;�;4,78;6,00;1,22;�;;;9;8;10;9;7;7;8;0;Dem.;;;7,27;2;Advanced;8,00;1;Democracy in consolidation;6,54;3;Limited;6,00;2;Good;3,0;4;Minor;7,10;2;Sound
Armenia;6;61;5,58;72;5,12;8,5;9;9;9;7;4,3;4;3;5;5;4,5;4;4;5;5;3,0;3;3;5,3;5;6;n/a;5;47;6,04;4,0;4;6,3;6;4;8;7;7,5;8;7;7,5;7;8;6,0;6;6;6,0;6;5,0;5;5;85;4,25;4,4;6;5;3;6;2;4,5;4,85;4,7;4;5;5;4,3;5;5;3;4,4;6;3;5;4;4;6,0;6;6;6;;;5,23;5,12;-0,12;�;5,89;6,04;0,14;�;4,31;4,25;-0,06;�;;;4;3;5;5;4;5;8;2;Aut.;;;5,58;3;Limited;5,12;4;Moderate autocracy;6,04;3;Limited;4,25;4;Weak;4,4;4;Minor;4,85;4;Flawed
Azerbaijan;6;100;4,13;107;3,43;7,3;5;8;9;7;2,3;2;2;3;2;3,0;2;3;4;3;2,0;2;2;2,7;2;3;n/a;3;85;4,82;4,0;4;4,3;4;3;4;6;6,0;6;6;4,5;4;5;5,5;5;6;5,0;5;4,5;5;4;97;3,86;5,0;6;8;4;4;2;5,9;4,35;4,7;5;5;4;3,3;4;4;2;3,4;4;2;5;2;4;6,0;5;6;7;;;3,48;3,43;-0,05;�;5,39;4,82;-0,57;�;3,76;3,86;0,10;�;;;2;2;3;2;2;3;6;6;Aut.;;;4,13;4;Very limited;3,43;5;Hard-line autocracy;4,82;4;Very limited;3,86;4;Weak;5,0;3;Moderate;4,35;4;Flawed
Bahrain;4;89;4,62;112;3,23;6,3;6;5;6;8;1,5;2;1;1;2;2,8;2;2;4;3;2,0;2;2;3,7;2;6;n/a;3;51;6,00;5,0;5;7,0;7;4;8;9;6,5;8;5;7,5;8;7;4,5;7;2;6,0;6;5,5;4;7;105;3,52;4,3;3;5;8;1;2;6,5;4,03;3,3;4;3;3;4,0;4;4;4;2,8;5;2;1;2;4;6,0;5;5;8;;;3,48;3,23;-0,25;�;6,43;6,00;-0,43;�;3,86;3,52;-0,34;�;;;2;1;1;2;2;3;7;6;Aut.;;;4,62;4;Very limited;3,23;5;Hard-line autocracy;6,00;3;Limited;3,52;4;Weak;4,3;4;Minor;4,03;4;Flawed
Bangladesh;7;79;5,11;80;4,62;6,8;6;9;6;6;4,3;5;3;5;4;3,8;4;4;3;4;3,0;3;3;5,3;6;5;n/a;5;64;5,61;4,0;4;5,8;5;6;7;5;6,5;6;7;6,5;5;8;4,0;4;4;8,0;8;4,5;5;4;84;4,27;6,8;7;6;7;8;7;5,8;4,60;4,0;5;4;3;3,3;3;4;3;4,4;5;4;4;4;5;6,7;7;6;7;;;5,35;4,62;-0,73;�;5,43;5,61;0,18;�;4,38;4,27;-0,11;�;;;5;3;5;4;4;4;6;2;Aut.;;;5,11;4;Very limited;4,62;4;Moderate autocracy;5,61;3;Limited;4,27;4;Weak;6,8;2;Substantial;4,60;4;Flawed
Belarus;6;86;4,72;85;4,33;8,5;10;8;9;7;3,0;3;3;3;3;4,0;3;4;5;4;2,5;3;2;3,7;3;4;n/a;4;77;5,11;7,0;7;4,8;4;6;6;3;5,0;5;5;3,5;4;3;6,0;6;6;4,0;4;5,5;6;5;105;3,52;4,1;5;7;3;4;1;4,8;4,05;4,0;4;4;4;4,3;4;5;4;3,2;2;2;5;3;4;4,7;4;4;6;;;3,93;4,33;0,40;�;4,61;5,11;0,50;�;3,02;3,52;0,50;�;;;3;3;3;3;3;4;8,5;5;Aut.;;;4,72;4;Very limited;4,33;4;Moderate autocracy;5,11;3;Limited;3,52;4;Weak;4,1;4;Minor;4,05;4;Flawed
